Base	Cluster	Month	Day	meanPas	countPick	sumPass	Lat	Lon
1	B02512	1	7	1	3	67	171	40.7114935840609	-74.0116670630341
2	B02512	1	7	2	2	75	178	40.7114935840609	-74.0116670630341
3	B02512	1	7	3	2	81	202	40.7114935840609	-74.0116670630341
4	B02512	1	7	4	2	42	96	40.7114935840609	-74.0116670630341
5	B02512	1	7	5	3	18	46	40.7114935840609	-74.0116670630341
6	B02512	1	7	6	3	19	51	40.7114935840609	-74.0116670630341
7	B02512	1	7	7	2	55	135	40.7114935840609	-74.0116670630341
8	B02512	1	7	8	2	69	163	40.7114935840609	-74.0116670630341
9	B02512	1	7	9	2	106	264	40.7114935840609	-74.0116670630341
10	B02512	1	7	10	2	83	196	40.7114935840609	-74.0116670630341
11	B02512	1	7	11	3	79	210	40.7114935840609	-74.0116670630341
12	B02512	1	7	12	3	67	176	40.7114935840609	-74.0116670630341
13	B02512	1	7	13	2	53	131	40.7114935840609	-74.0116670630341
14	B02512	1	7	14	2	97	242	40.7114935840609	-74.0116670630341
15	B02512	1	7	15	2	116	279	40.7114935840609	-74.0116670630341
16	B02512	1	7	16	2	93	229	40.7114935840609	-74.0116670630341
17	B02512	1	7	17	2	74	178	40.7114935840609	-74.0116670630341
18	B02512	1	7	18	3	75	196	40.7114935840609	-74.0116670630341
19	B02512	1	7	19	2	65	154	40.7114935840609	-74.0116670630341
20	B02512	1	7	20	3	43	120	40.7114935840609	-74.0116670630341
21	B02512	1	7	21	2	64	155	40.7114935840609	-74.0116670630341
22	B02512	1	7	22	2	75	185	40.7114935840609	-74.0116670630341
23	B02512	1	7	23	3	120	302	40.7114935840609	-74.0116670630341
24	B02512	1	7	24	2	89	217	40.7114935840609	-74.0116670630341
25	B02512	1	7	25	2	96	236	40.7114935840609	-74.0116670630341
26	B02512	1	7	26	3	81	205	40.7114935840609	-74.0116670630341
27	B02512	1	7	27	3	46	119	40.7114935840609	-74.0116670630341
28	B02512	1	7	28	2	74	173	40.7114935840609	-74.0116670630341
29	B02512	1	7	29	2	85	205	40.7114935840609	-74.0116670630341
30	B02512	1	7	30	2	92	227	40.7114935840609	-74.0116670630341
31	B02512	1	7	31	3	123	308	40.7114935840609	-74.0116670630341
32	B02512	1	8	1	3	119	304	40.7114935840609	-74.0116670630341
33	B02512	1	8	2	3	83	224	40.7114935840609	-74.0116670630341
34	B02512	1	8	3	2	51	120	40.7114935840609	-74.0116670630341
35	B02512	1	8	4	2	63	156	40.7114935840609	-74.0116670630341
36	B02512	1	8	5	3	90	226	40.7114935840609	-74.0116670630341
37	B02512	1	8	6	2	100	249	40.7114935840609	-74.0116670630341
38	B02512	1	8	7	3	116	296	40.7114935840609	-74.0116670630341
39	B02512	1	8	8	3	99	257	40.7114935840609	-74.0116670630341
40	B02512	1	8	9	2	69	167	40.7114935840609	-74.0116670630341
41	B02512	1	8	10	3	36	95	40.7114935840609	-74.0116670630341
42	B02512	1	8	11	3	56	150	40.7114935840609	-74.0116670630341
43	B02512	1	8	12	3	88	222	40.7114935840609	-74.0116670630341
44	B02512	1	8	13	2	87	211	40.7114935840609	-74.0116670630341
45	B02512	1	8	14	3	84	212	40.7114935840609	-74.0116670630341
46	B02512	1	8	15	2	70	151	40.7114935840609	-74.0116670630341
47	B02512	1	8	16	3	79	210	40.7114935840609	-74.0116670630341
48	B02512	1	8	17	2	50	121	40.7114935840609	-74.0116670630341
49	B02512	1	8	18	2	58	145	40.7114935840609	-74.0116670630341
50	B02512	1	8	19	3	76	197	40.7114935840609	-74.0116670630341
51	B02512	1	8	20	3	78	202	40.7114935840609	-74.0116670630341
52	B02512	1	8	21	2	89	217	40.7114935840609	-74.0116670630341
53	B02512	1	8	22	2	72	175	40.7114935840609	-74.0116670630341
54	B02512	1	8	23	2	91	226	40.7114935840609	-74.0116670630341
55	B02512	1	8	24	2	57	142	40.7114935840609	-74.0116670630341
56	B02512	1	8	25	2	52	127	40.7114935840609	-74.0116670630341
57	B02512	1	8	26	2	57	131	40.7114935840609	-74.0116670630341
58	B02512	1	8	27	3	67	174	40.7114935840609	-74.0116670630341
59	B02512	1	8	28	3	74	187	40.7114935840609	-74.0116670630341
60	B02512	1	8	29	2	67	166	40.7114935840609	-74.0116670630341
61	B02512	1	8	30	3	45	126	40.7114935840609	-74.0116670630341
62	B02512	1	8	31	2	47	117	40.7114935840609	-74.0116670630341
63	B02512	1	9	1	2	38	91	40.7114935840609	-74.0116670630341
64	B02512	1	9	2	3	76	195	40.7114935840609	-74.0116670630341
65	B02512	1	9	3	2	77	186	40.7114935840609	-74.0116670630341
66	B02512	1	9	4	2	116	273	40.7114935840609	-74.0116670630341
